zoneid,userid,latitude,longitude,timestamp,time_of_day,day_of_week,speed,weather_conditions,frequency_crossing,zoneradius,behaviour
14,12,39.9475,-75.1909,2025-04-02 03:50:15.887,afternoon,Friday,33,Clear,9,200,normal
295,2,39.9244,-75.17,2025-04-02 18:35:39.284,afternoon,Saturday,113,Clear,11,500,anomalous
147,8,39.9936,-75.1344,2025-09-16 15:36:09.407,morning,Sunday,25,Rain,5,750,normal
156,3,39.9542,-75.1314,2025-03-02 19:18:49.719,afternoon,Friday,34,Cloudy,7,500,normal
347,19,39.9469,-75.12,2025-08-09 22:13:59.007,night,Friday,16,Rain,6,100,normal
624,7,39.9511,-75.2145,2025-09-16 01:08:25.340,morning,Tuesday,27,Rain,10,500,normal
570,9,39.931,-75.1585,2025-01-16 03:09:34.070,evening,Sunday,29,Clear,8,200,normal
915,14,39.9972,-75.1245,2025-07-17 12:44:15.922,night,Sunday,68,Rain,15,100,anomalous
957,0,39.9167,-75.1547,2025-06-29 02:45:10.453,evening,Sunday,27,Clear,7,500,normal
269,15,39.925,-75.2038,2025-03-26 16:57:06.913,evening,Wednesday,95,Clear,8,100,normal
298,10,39.9995,-75.1851,2025-06-23 15:59:30.577,morning,Saturday,51,Clear,3,300,normal
973,2,39.9576,-75.176,2024-11-15 09:40:28.030,morning,Wednesday,29,Clear,1,200,normal
110,13,39.976,-75.1457,2025-04-08 03:11:36.223,morning,Wednesday,26,Clear,9,500,normal
398,4,39.9235,-75.1665,2025-02-23 02:28:22.393,afternoon,Monday,23,Rain,5,300,normal
325,4,39.9369,-75.1606,2025-04-28 03:28:53.446,afternoon,Thursday,36,Rain,7,300,normal
296,7,39.9085,-75.1171,2025-07-03 05:27:53.676,afternoon,Tuesday,100,Clear,20,200,normal
190,2,39.9129,-75.1299,2025-10-30 18:19:12.408,afternoon,Friday,107,Cloudy,16,200,anomalous
185,2,39.9445,-75.1458,2025-07-31 12:54:10.574,night,Friday,109,Rain,20,500,anomalous
725,6,39.9275,-75.1692,2025-05-28 19:05:02.965,afternoon,Saturday,47,Clear,1,300,normal
132,9,39.9331,-75.1911,2025-01-29 21:25:07.625,night,Thursday,104,Cloudy,13,500,anomalous
836,19,39.9827,-75.1998,2025-10-25 04:28:05.874,evening,Sunday,19,Fog,1,750,normal
328,9,39.9854,-75.1269,2025-08-20 20:26:13.670,morning,Monday,29,Clear,7,750,normal
30,3,40.0017,-75.1918,2025-06-21 00:44:45.622,afternoon,Thursday,33,Cloudy,7,200,normal
362,9,39.9108,-75.1502,2025-08-17 12:37:26.647,afternoon,Friday,87,Rain,20,300,anomalous
759,12,39.9731,-75.1222,2025-06-09 16:00:36.378,night,Saturday,25,Cloudy,5,500,normal
557,19,39.967,-75.2122,2024-11-19 21:14:50.164,evening,Friday,102,Rain,10,100,anomalous
345,6,39.9999,-75.1374,2025-03-19 07:21:14.666,night,Wednesday,33,Clear,1,200,normal
528,10,39.9281,-75.187,2025-09-05 12:21:43.567,afternoon,Sunday,66,Cloudy,19,100,anomalous
193,17,39.9156,-75.147,2025-02-26 10:26:22.585,evening,Tuesday,30,Cloudy,1,100,normal
998,4,39.9246,-75.1566,2025-04-08 14:47:13.642,morning,Friday,101,Cloudy,24,300,anomalous
