user_id,timestamp,temperature,day_of_week,time_of_the_day,weather_conditions,frequency
USER015,2025-08-14 13:29:23.457,25,4,night,cloudy,47
USER019,2025-08-21 09:11:05.460,34,3,afternoon,rainy,47
USER002,2025-10-05 22:47:01.464,34,6,afternoon,cloudy,47
USER003,2025-11-05 02:08:34.458,36,0,morning,snowy,47
USER005,2025-11-01 22:20:07.459,22,3,evening,cloudy,47
USER006,2025-10-19 05:06:27.463,4,1,afternoon,sunny,47
USER001,2025-09-15 22:42:29.458,26,6,evening,cloudy,47
USER011,2025-09-22 07:41:27.460,38,1,evening,rainy,47
USER017,2025-08-14 22:59:51.465,29,6,morning,sunny,47
USER014,2025-08-13 01:04:23.460,3,5,afternoon,snowy,47
USER010,2025-09-14 02:25:29.462,13,2,evening,sunny,47
USER017,2025-09-24 21:17:57.466,-3,1,night,rainy,47
USER009,2025-09-11 17:40:54.456,-7,1,night,cloudy,47
USER011,2025-09-10 10:09:00.463,35,6,afternoon,sunny,47
USER007,2025-10-01 02:12:11.459,-10,4,evening,rainy,47
USER002,2025-08-22 02:50:38.465,-7,5,evening,snowy,47
USER014,2025-09-02 19:44:19.466,33,1,morning,cloudy,47
USER008,2025-10-20 08:38:19.466,11,6,morning,rainy,47
USER009,2025-09-01 09:38:24.463,30,5,afternoon,rainy,47
USER011,2025-11-04 22:11:15.457,30,5,afternoon,rainy,47
USER002,2025-10-26 06:10:58.459,6,4,night,rainy,47
USER012,2025-08-29 00:56:38.459,12,5,afternoon,sunny,47
USER006,2025-08-21 08:49:45.460,34,4,night,cloudy,47
USER019,2025-08-24 14:09:41.466,12,0,afternoon,rainy,47
USER002,2025-11-03 16:17:11.458,-9,2,evening,snowy,47
USER008,2025-09-05 16:38:45.459,33,1,evening,sunny,47
USER017,2025-08-19 19:03:09.456,36,4,evening,sunny,47
USER002,2025-10-19 02:58:56.466,12,6,morning,snowy,47
USER004,2025-10-13 11:54:14.458,-10,2,morning,cloudy,47
USER012,2025-11-02 21:52:00.460,31,6,evening,sunny,47
USER012,2025-10-13 19:31:10.466,23,2,evening,cloudy,47
USER020,2025-09-02 23:05:54.466,28,4,morning,snowy,47
USER003,2025-10-27 21:59:41.459,36,6,morning,rainy,47
USER013,2025-09-12 08:26:21.457,29,6,morning,rainy,47
USER002,2025-10-22 10:40:09.456,12,4,evening,cloudy,47
USER001,2025-11-03 14:55:01.464,10,0,evening,sunny,47
USER007,2025-10-08 22:16:52.459,32,1,afternoon,rainy,47
USER001,2025-09-20 13:22:15.457,4,5,night,snowy,47
USER007,2025-08-24 10:19:09.466,-10,2,evening,sunny,47
USER002,2025-10-08 18:52:59.460,13,0,evening,sunny,47
USER002,2025-09-29 09:09:01.460,-6,6,afternoon,snowy,47
USER007,2025-11-03 17:44:30.461,-3,3,evening,sunny,47
USER007,2025-10-06 00:45:45.457,32,2,afternoon,snowy,47
USER005,2025-10-14 23:54:26.459,23,2,afternoon,sunny,47
USER006,2025-10-05 15:03:58.463,21,5,evening,sunny,47
USER005,2025-11-04 02:49:46.459,-4,2,afternoon,rainy,47
USER018,2025-08-30 09:04:06.461,-9,6,afternoon,cloudy,47
USER017,2025-10-30 00:55:03.461,-4,1,night,cloudy,47
USER019,2025-10-30 15:07:41.466,-5,2,afternoon,sunny,47
USER018,2025-08-17 09:49:09.466,2,5,afternoon,sunny,47
USER018,2025-08-12 07:24:35.459,-9,2,evening,rainy,47
USER002,2025-08-13 14:09:39.458,3,0,night,sunny,47
USER004,2025-09-30 22:58:32.456,14,2,morning,sunny,47
USER005,2025-10-12 16:42:30.459,7,5,morning,rainy,47
USER018,2025-08-21 17:46:20.465,-7,1,morning,cloudy,47
USER013,2025-09-01 05:19:45.458,32,1,morning,sunny,47
USER013,2025-09-13 18:32:02.461,22,5,morning,cloudy,47
USER007,2025-09-15 13:03:58.459,-7,4,morning,rainy,47
USER005,2025-08-23 21:52:18.457,23,5,afternoon,rainy,47
USER006,2025-09-10 18:11:04.463,-9,6,afternoon,rainy,47
USER008,2025-11-02 02:14:01.457,18,6,night,cloudy,47
USER012,2025-09-02 21:46:51.457,35,5,night,rainy,47
USER003,2025-09-11 07:38:29.459,21,0,evening,snowy,47
USER007,2025-09-05 08:22:26.460,32,1,night,cloudy,47
USER014,2025-09-15 20:12:33.456,-10,4,morning,rainy,47
USER011,2025-08-12 13:42:09.463,2,3,afternoon,cloudy,47
USER019,2025-10-21 19:50:15.460,21,2,evening,rainy,47
USER005,2025-09-29 17:32:35.460,36,2,night,snowy,47
USER019,2025-08-26 12:36:26.464,-3,2,night,rainy,47
USER018,2025-10-24 14:46:33.456,33,1,evening,rainy,47
USER004,2025-10-21 09:28:42.459,15,2,afternoon,sunny,47
USER016,2025-08-10 19:34:11.459,7,3,night,rainy,47
USER013,2025-08-26 19:14:24.457,-8,1,afternoon,snowy,47
USER008,2025-10-27 08:38:30.456,-5,1,afternoon,rainy,47
USER012,2025-09-01 20:45:27.466,-3,6,morning,cloudy,47
USER020,2025-09-06 00:46:16.463,13,1,night,cloudy,47
USER011,2025-09-07 11:40:15.460,11,2,night,sunny,47
USER013,2025-09-05 23:46:58.463,34,0,morning,rainy,47
USER016,2025-11-04 13:34:14.462,32,6,evening,cloudy,47
