user_id,timestamp,temperature,day_of_week,time_of_the_day,weather_conditions,behaviour,frequency_crossing
USER009,2025-01-01 18:22:21.394,-22,3,night,rainy,normal,879
USER003,2025-08-08 21:55:07.639,-13,6,night,snowy,anomalous,495
USER008,2025-10-23 21:37:29.840,6,5,night,sunny,normal,98
USER001,2025-02-21 20:06:13.455,-5,6,night,cloudy,anomalous,476
USER015,2025-03-10 03:08:17.244,52,1,morning,snowy,anomalous,944
USER009,2025-07-04 23:35:42.511,-25,6,morning,sunny,normal,314
USER015,2025-11-29 16:34:49.551,-35,6,night,rainy,normal,962
USER010,2025-05-29 04:14:57.074,42,4,morning,snowy,anomalous,275
USER018,2025-12-12 16:03:20.444,-45,5,evening,snowy,anomalous,52
USER017,2025-03-10 19:00:48.224,39,2,night,rainy,normal,435
USER011,2025-09-10 05:07:38.562,46,3,morning,rainy,anomalous,284
USER004,2025-04-26 05:16:14.801,-19,6,morning,cloudy,normal,92
USER003,2025-09-06 11:18:13.690,20,6,afternoon,rainy,anomalous,361
USER015,2025-09-12 17:50:26.441,43,5,night,rainy,normal,143
USER008,2025-02-10 18:05:15.274,44,1,night,snowy,anomalous,765
USER015,2025-10-24 08:53:30.648,-50,5,afternoon,snowy,normal,800
USER006,2025-07-29 19:55:43.174,55,3,night,sunny,anomalous,629
USER006,2025-06-04 14:16:25.256,-10,3,evening,sunny,anomalous,638
USER003,2025-01-24 18:39:14.602,23,6,night,sunny,normal,356
USER019,2025-03-29 00:48:59.436,-40,6,morning,sunny,anomalous,326
USER001,2025-07-31 08:31:02.403,31,4,afternoon,snowy,normal,649
USER011,2025-05-31 23:43:59.091,0,0,morning,snowy,anomalous,974
USER007,2025-09-15 17:55:29.629,39,1,night,rainy,normal,994
USER018,2025-08-27 18:46:33.947,5,4,night,rainy,anomalous,364
USER001,2025-04-25 13:56:34.982,-41,5,evening,cloudy,normal,563
USER006,2025-04-24 20:37:22.110,54,5,night,sunny,anomalous,33
USER001,2025-10-09 21:18:29.258,-46,5,night,sunny,normal,740
USER009,2025-03-02 00:02:42.669,42,0,morning,cloudy,normal,640
USER003,2025-06-28 16:16:01.659,-47,6,evening,rainy,normal,397
USER012,2025-04-05 07:30:15.218,6,6,afternoon,sunny,normal,277
USER018,2025-08-24 17:51:58.607,32,0,night,rainy,anomalous,953
USER008,2025-03-26 17:46:07.060,58,3,night,sunny,anomalous,473
USER002,2025-05-06 17:38:00.390,55,2,night,cloudy,normal,721
USER001,2025-05-02 06:45:39.523,-5,5,afternoon,rainy,anomalous,307
USER015,2025-07-22 09:32:14.012,45,2,afternoon,cloudy,normal,495
USER016,2025-05-25 21:32:13.420,3,1,night,snowy,normal,653
USER008,2025-08-27 02:46:51.102,-16,3,morning,snowy,anomalous,868
USER014,2025-05-23 04:37:22.739,-26,5,morning,sunny,anomalous,452
USER002,2025-04-13 11:18:39.992,10,0,afternoon,rainy,anomalous,879
USER007,2025-12-09 11:50:38.547,41,2,evening,cloudy,anomalous,97
USER016,2025-01-21 23:06:44.590,-29,3,night,cloudy,anomalous,995
USER013,2025-11-05 12:34:51.962,-49,3,evening,sunny,normal,614
USER003,2025-01-15 14:02:09.921,-39,3,evening,sunny,normal,525
USER001,2025-06-11 13:51:40.763,1,3,evening,sunny,anomalous,626
USER020,2025-12-20 14:04:15.891,59,6,evening,snowy,anomalous,484
USER011,2025-05-25 09:15:53.389,-34,0,afternoon,sunny,anomalous,522
USER011,2025-10-15 01:01:25.290,-3,3,morning,sunny,anomalous,994
USER015,2025-09-13 23:41:36.294,30,0,morning,rainy,normal,456
USER007,2025-02-20 04:53:58.324,-15,4,morning,snowy,anomalous,592
USER006,2025-03-01 23:15:17.093,-6,0,night,rainy,anomalous,943
USER019,2025-06-12 07:24:53.370,-45,4,afternoon,cloudy,normal,80
USER003,2025-05-07 19:43:03.307,-20,4,night,rainy,normal,590
USER008,2025-11-04 09:03:28.676,-9,2,afternoon,sunny,normal,552
USER013,2025-10-10 07:27:05.458,57,5,afternoon,rainy,normal,101
USER017,2025-03-31 12:11:46.167,-10,1,evening,rainy,normal,637
USER012,2025-12-29 13:06:37.459,-8,1,evening,snowy,anomalous,694
USER016,2025-07-03 15:28:51.389,-17,4,evening,sunny,anomalous,906
USER018,2025-04-25 17:16:03.632,30,5,night,sunny,anomalous,849
USER014,2025-03-29 14:52:57.562,-6,6,evening,rainy,normal,964
USER008,2025-07-23 15:56:19.727,58,3,evening,cloudy,normal,521
