user_id,timestamp,temperature,time_of_the_day,behaviour,frequency_crossing,anomalous_probability,anomaly_reason,behavior,feature_count,normal_probability,prediction_confidence,prediction_timestamp,used_user_model
USER020,2025-01-17 14:41:24.270,48,evening,anomalous,583,,,,,,,,
USER002,2025-07-24 20:19:20.259,46,night,normal,780,,,,,,,,
USER011,2025-10-04 09:21:26.722,-15,afternoon,normal,494,,,,,,,,
USER017,2025-11-03 15:17:16.192,22,evening,anomalous,140,,,,,,,,
USER020,2025-03-29 18:24:50.137,22,night,anomalous,937,,,,,,,,
USER008,2025-05-08 07:41:34.312,53,afternoon,normal,172,,,,,,,,
USER001,2025-04-17 22:19:46.269,-14,night,normal,987,,,,,,,,
USER018,2025-10-01 23:12:48.870,-24,night,normal,981,,,,,,,,
USER014,2025-05-28 17:06:10.657,4,night,anomalous,27,,,,,,,,
USER005,2025-06-15 02:04:55.322,2,morning,normal,486,,,,,,,,
USER002,2025-03-09 18:43:51.617,-13,night,normal,450,,,,,,,,
USER004,2025-09-14 18:47:21.266,-19,night,normal,698,,,,,,,,
USER018,2025-04-28 20:49:34.665,-43,night,normal,839,,,,,,,,
USER007,2025-05-06 06:34:21.057,35,afternoon,anomalous,541,,,,,,,,
USER001,2025-02-16 21:19:13.206,-12,night,anomalous,516,,,,,,,,
USER016,2025-05-24 15:03:28.020,42,evening,normal,412,,,,,,,,
USER003,2025-05-14 19:47:00.274,-27,night,anomalous,415,,,,,,,,
USER020,2025-01-19 10:10:35.853,-5,afternoon,anomalous,397,,,,,,,,
USER002,2025-01-14 09:05:01.557,-27,afternoon,anomalous,200,,,,,,,,
USER001,2025-07-02 16:28:01.432,57,evening,anomalous,953,,,,,,,,
USER009,2025-02-25 10:12:40.639,17,afternoon,normal,356,,,,,,,,
USER019,2025-06-30 05:47:23.526,13,morning,anomalous,175,,,,,,,,
USER001,2025-09-29 22:43:37.639,-27,night,anomalous,486,,,,,,,,
USER009,2025-02-01 07:19:04.254,-1,afternoon,normal,403,,,,,,,,
USER014,2025-09-28 10:11:04.180,-25,afternoon,normal,456,,,,,,,,
USER019,2025-09-28 16:41:58.686,29,night,anomalous,19,,,,,,,,
USER018,2025-09-01 08:29:47.177,-29,afternoon,anomalous,596,,,,,,,,
USER020,2025-11-02 22:02:39.465,13,night,anomalous,815,,,,,,,,
USER003,2025-05-01 05:13:54.127,-29,morning,normal,186,,,,,,,,
USER005,2025-05-19 07:46:07.143,-44,afternoon,anomalous,539,,,,,,,,
USER020,2025-09-06 02:43:21.635,7,morning,normal,742,,,,,,,,
USER010,2025-01-14 01:55:17.263,-45,morning,normal,437,,,,,,,,
USER006,2025-07-29 14:15:14.747,-46,evening,normal,928,,,,,,,,
USER004,2025-12-26 06:38:27.761,-46,afternoon,anomalous,488,,,,,,,,
USER001,2025-12-08 22:19:10.019,-47,night,anomalous,392,0.5580735802650452,Multiple unusual patterns detected,anomalous,10.0,0.44192641973495483,0.5580735802650452,2025-11-07 03:39:31.188,True
USER006,2025-11-20 10:11:14.849,-27,afternoon,anomalous,898,,,,,,,,
USER012,2025-06-02 12:25:19.667,43,evening,anomalous,481,,,,,,,,
USER016,2025-09-09 05:22:23.160,-32,morning,anomalous,109,,,,,,,,
USER018,2025-03-09 18:42:50.469,4,night,normal,791,,,,,,,,
