user_id,timestamp,temperature,time_of_the_day,behaviour,frequency_crossing,weather_conditions,day_of_week,anomalous_probability,anomaly_reason,behavior,feature_count,normal_probability,prediction_confidence,prediction_timestamp,used_user_model
USER009,2025-01-01 18:22:21.394,-22,night,normal,879,sunny,2,,,,,,,,
USER003,2025-08-08 21:55:07.639,-13,night,anomalous,495,cloudy,0,,,,,,,,
USER008,2025-10-23 21:37:29.840,6,night,normal,98,snowy,5,,,,,,,,
USER001,2025-02-21 20:06:13.455,-5,night,anomalous,476,snowy,4,,,,,,,,
USER015,2025-03-10 03:08:17.244,52,morning,anomalous,944,rainy,3,,,,,,,,
USER009,2025-07-04 23:35:42.511,-25,morning,normal,314,sunny,4,,,,,,,,
USER015,2025-11-29 16:34:49.551,-35,night,normal,962,rainy,3,,,,,,,,
USER010,2025-05-29 04:14:57.074,42,morning,anomalous,275,rainy,2,,,,,,,,
USER018,2025-12-12 16:03:20.444,-45,evening,anomalous,52,rainy,6,,,,,,,,
USER017,2025-03-10 19:00:48.224,39,night,normal,435,cloudy,2,,,,,,,,
USER011,2025-09-10 05:07:38.562,46,morning,anomalous,284,cloudy,2,,,,,,,,
USER004,2025-04-26 05:16:14.801,-19,morning,normal,92,rainy,6,,,,,,,,
USER003,2025-09-06 11:18:13.690,20,afternoon,anomalous,361,sunny,4,,,,,,,,
USER015,2025-09-12 17:50:26.441,43,night,normal,143,cloudy,6,,,,,,,,
USER008,2025-02-10 18:05:15.274,44,night,anomalous,765,snowy,6,,,,,,,,
USER015,2025-10-24 08:53:30.648,-50,afternoon,normal,800,rainy,3,,,,,,,,
USER006,2025-07-29 19:55:43.174,55,night,anomalous,629,snowy,4,,,,,,,,
USER006,2025-06-04 14:16:25.256,-10,evening,anomalous,638,sunny,1,,,,,,,,
USER003,2025-01-24 18:39:14.602,23,night,normal,356,snowy,1,,,,,,,,
USER019,2025-03-29 00:48:59.436,-40,morning,anomalous,326,rainy,4,,,,,,,,
USER001,2025-07-31 08:31:02.403,31,afternoon,normal,649,snowy,5,,,,,,,,
USER011,2025-05-31 23:43:59.091,0,morning,anomalous,974,sunny,0,,,,,,,,
USER007,2025-09-15 17:55:29.629,39,night,normal,994,cloudy,1,,,,,,,,
