user_id,timestamp,temperature,day_of_week,time_of_the_day,weather_conditions,frequency_crossing,behaviour
USER036,2025-05-21 04:42:38.966,11,3,morning,cloudy,313,anomalous
USER020,2025-05-07 12:12:44.639,6,6,morning,snowy,358,normal
USER018,2025-10-30 02:09:31.325,10,3,afternoon,snowy,352,normal
USER012,2024-11-13 11:54:26.502,32,6,morning,sunny,372,anomalous
USER037,2025-11-10 07:09:41.850,28,4,night,cloudy,166,normal
USER029,2025-09-26 04:19:12.879,8,1,night,snowy,92,anomalous
USER037,2024-11-17 12:47:39.284,1,5,night,snowy,115,normal
USER013,2024-06-17 06:44:23.184,40,5,afternoon,sunny,231,normal
USER002,2025-01-25 08:32:22.729,32,6,night,sunny,246,normal
USER045,2025-06-12 09:31:22.339,12,4,morning,cloudy,517,normal
USER001,2024-04-30 23:12:54.189,41,5,evening,sunny,127,normal
USER027,2025-09-02 18:00:45.754,6,5,morning,rainy,422,anomalous
USER031,2024-06-05 04:01:27.146,10,6,night,rainy,151,normal
USER034,2024-03-02 08:23:56.933,11,4,afternoon,rainy,244,anomalous
USER020,2024-09-25 18:07:11.222,9,3,evening,snowy,170,normal
USER019,2025-05-17 22:25:13.295,20,5,afternoon,cloudy,355,normal
USER026,2024-06-28 10:55:18.479,28,1,afternoon,cloudy,519,normal
USER032,2024-07-07 06:44:39.398,27,1,night,cloudy,174,normal
USER047,2025-07-01 03:45:15.607,27,4,morning,cloudy,468,normal
USER030,2024-01-02 09:35:34.391,15,1,evening,sunny,115,normal
USER016,2024-05-17 12:11:46.103,9,3,evening,rainy,160,anomalous
USER045,2025-12-30 13:08:02.526,14,0,evening,rainy,55,anomalous
USER039,2024-06-06 20:55:47.983,16,2,evening,sunny,178,anomalous
USER020,2025-07-29 06:52:37.507,37,3,night,sunny,152,normal
USER018,2025-12-14 04:18:41.583,19,6,morning,rainy,285,normal
USER010,2025-08-13 11:54:33.684,8,6,night,rainy,226,normal
USER021,2025-05-04 20:00:16.482,23,3,afternoon,cloudy,374,normal
USER050,2025-09-08 01:16:02.145,6,4,morning,rainy,298,anomalous
USER012,2024-12-07 14:24:28.220,25,2,morning,sunny,414,normal
USER007,2025-08-21 17:13:42.289,19,1,night,cloudy,134,normal
USER001,2025-11-17 04:19:50.775,6,6,morning,rainy,292,normal
USER031,2024-04-13 06:04:12.143,9,0,morning,rainy,232,normal
USER041,2025-08-11 10:51:17.625,20,2,evening,cloudy,240,normal
USER013,2024-11-30 12:11:31.007,23,4,evening,cloudy,88,normal
USER030,2025-09-04 00:14:08.323,42,3,morning,sunny,276,normal
USER012,2024-03-16 08:27:38.481,3,0,afternoon,snowy,246,anomalous
USER018,2024-10-20 23:53:23.588,17,1,morning,cloudy,521,normal
USER005,2025-08-01 07:09:17.558,29,0,evening,cloudy,161,normal
USER037,2024-07-18 18:47:03.940,27,5,afternoon,cloudy,266,normal
USER035,2024-09-16 18:23:29.105,21,2,night,sunny,169,normal
USER017,2025-03-25 14:37:18.197,17,3,night,cloudy,178,normal
USER046,2024-01-04 19:33:51.510,6,1,night,snowy,184,normal
USER029,2024-07-31 06:11:30.514,44,5,afternoon,sunny,567,anomalous
USER015,2025-12-01 22:13:12.876,27,1,afternoon,cloudy,564,normal
USER040,2024-02-22 22:23:08.201,13,6,night,cloudy,215,normal
USER039,2024-08-08 05:06:17.308,22,6,evening,cloudy,55,normal
USER039,2024-11-14 00:03:32.226,18,3,evening,rainy,109,normal
USER007,2024-01-04 13:07:20.871,26,0,evening,cloudy,73,normal
USER011,2024-01-01 19:08:37.014,10,6,evening,snowy,57,normal
USER040,2025-09-02 19:54:57.723,19,1,night,cloudy,88,normal
USER011,2024-01-15 19:46:42.270,5,0,night,snowy,85,normal
USER026,2025-07-13 14:09:02.212,3,0,morning,snowy,342,normal
USER011,2024-01-13 15:22:06.505,28,4,morning,cloudy,417,normal
USER021,2024-10-15 05:45:27.038,9,6,afternoon,snowy,346,normal
USER014,2025-06-05 13:28:33.878,5,4,morning,snowy,469,normal
USER001,2024-02-09 19:20:34.852,12,1,morning,cloudy,533,normal
USER021,2025-02-25 09:48:35.801,14,4,night,rainy,179,normal
USER026,2025-10-24 18:57:00.660,18,6,night,rainy,201,normal
USER031,2024-11-12 08:49:12.874,25,2,evening,sunny,56,normal
USER011,2025-03-11 15:53:26.342,10,4,night,rainy,107,normal
USER048,2024-10-08 04:03:26.365,20,6,morning,sunny,354,normal
USER032,2025-11-26 08:49:48.868,24,5,night,cloudy,84,normal
USER015,2025-10-07 13:39:59.124,32,3,afternoon,sunny,494,normal
USER024,2024-12-06 06:13:33.659,11,5,afternoon,cloudy,420,normal
USER020,2024-11-25 22:07:40.152,19,0,morning,rainy,430,normal
USER022,2025-06-07 13:39:48.935,17,5,evening,rainy,208,normal
USER014,2025-02-13 22:59:41.194,40,0,morning,sunny,600,normal
USER004,2025-10-28 09:58:07.445,5,1,night,rainy,174,anomalous
USER020,2025-04-20 12:27:38.819,13,1,morning,cloudy,438,normal
USER002,2025-12-04 07:21:00.831,18,6,morning,sunny,325,normal
USER036,2024-05-23 12:57:11.103,15,6,evening,sunny,230,normal
USER014,2024-11-08 04:53:11.318,4,0,morning,snowy,487,anomalous
USER021,2025-08-24 06:28:27.210,24,5,night,cloudy,60,normal
USER046,2025-11-07 20:21:52.038,41,1,night,sunny,116,normal
USER001,2024-05-29 21:18:48.850,29,1,evening,sunny,52,anomalous
USER041,2024-05-09 23:36:16.169,19,2,afternoon,rainy,410,anomalous
USER030,2024-05-01 21:54:50.250,16,4,morning,rainy,360,normal
USER017,2025-02-26 04:23:27.172,21,1,afternoon,cloudy,309,anomalous
USER019,2025-01-04 19:55:05.131,2,4,evening,snowy,135,anomalous
USER018,2025-08-02 18:31:20.754,9,4,night,rainy,121,anomalous
USER021,2025-01-30 15:42:41.465,10,0,afternoon,rainy,544,normal
USER026,2024-12-31 08:49:28.131,39,1,night,sunny,125,normal
USER001,2025-09-29 03:57:42.857,44,3,morning,sunny,355,normal
USER050,2024-05-31 15:08:51.148,7,4,evening,rainy,137,anomalous
USER045,2025-02-16 17:32:36.276,9,1,evening,rainy,172,normal
USER028,2025-09-27 21:00:53.578,18,3,morning,cloudy,384,normal
USER002,2024-03-16 03:42:37.099,35,5,night,sunny,147,normal
USER004,2025-12-25 07:03:40.910,7,6,evening,snowy,231,anomalous
USER001,2025-11-12 06:26:03.344,16,0,night,sunny,86,normal
USER042,2024-06-25 10:18:07.441,15,6,night,rainy,55,anomalous
USER022,2024-10-04 20:09:58.032,27,3,morning,cloudy,448,normal
USER050,2024-08-09 20:02:51.864,40,5,morning,sunny,329,normal
USER013,2025-04-02 03:12:04.035,26,2,night,cloudy,112,normal
USER046,2024-05-25 02:37:39.999,30,4,night,sunny,97,normal
USER011,2025-09-20 08:41:39.863,15,4,evening,sunny,215,normal
USER047,2024-10-15 19:16:01.433,7,2,afternoon,rainy,241,normal
USER038,2024-04-19 13:23:25.400,40,5,evening,sunny,70,normal
USER018,2025-05-05 20:55:19.453,26,2,afternoon,cloudy,395,normal
USER047,2025-01-11 09:24:27.449,3,0,evening,snowy,182,normal
USER015,2024-05-02 01:37:07.754,9,0,afternoon,snowy,239,anomalous
USER029,2024-04-02 22:31:16.739,6,5,evening,snowy,56,anomalous
USER005,2024-01-15 15:02:18.192,7,1,evening,snowy,139,normal
USER045,2024-11-20 03:53:18.551,15,6,evening,rainy,60,anomalous
USER039,2025-09-10 00:01:12.805,10,3,night,snowy,134,normal
USER048,2024-05-17 11:53:04.399,26,2,morning,cloudy,259,anomalous
USER013,2025-12-18 06:21:51.212,18,5,morning,rainy,249,normal
USER010,2024-05-19 04:36:38.535,9,5,evening,rainy,226,anomalous
USER007,2025-12-22 15:44:04.075,38,0,evening,sunny,109,normal
USER027,2024-09-15 07:55:53.986,28,2,morning,sunny,487,normal
USER005,2024-06-06 02:05:43.850,21,4,evening,cloudy,79,normal
USER022,2024-10-16 03:33:31.617,10,4,night,cloudy,59,normal
USER045,2024-01-28 13:48:54.488,22,6,afternoon,sunny,397,normal
USER030,2024-11-18 06:23:31.599,33,2,evening,sunny,248,normal
USER004,2025-07-15 21:36:19.747,15,4,evening,cloudy,55,normal
USER018,2025-01-20 05:23:38.503,26,1,morning,cloudy,540,normal
USER042,2024-08-14 09:44:54.057,11,4,night,rainy,169,normal
USER040,2025-04-23 20:40:35.614,8,6,afternoon,snowy,563,normal
USER017,2024-01-21 05:06:47.777,10,0,night,cloudy,71,normal
USER016,2025-03-26 03:02:05.237,26,4,night,sunny,57,anomalous
USER037,2025-11-13 14:34:17.361,7,0,afternoon,snowy,335,normal
