user_id,timestamp,temperature,day_of_week,time_of_the_day,weather_conditions,frequency_crossing,behaviour
USER002,2024-07-12 00:30:38.962,9,5,morning,sunny,40,anomalous
USER007,2024-12-31 02:16:49.289,49,2,morning,sunny,306,normal
USER006,2025-06-12 12:28:30.505,51,4,evening,cloudy,241,normal
USER003,2024-07-18 19:02:19.754,-28,5,night,cloudy,902,anomalous
USER008,2024-05-13 12:07:36.295,-47,1,evening,snowy,548,anomalous
USER002,2025-07-01 07:30:15.606,26,2,afternoon,sunny,915,anomalous
USER007,2025-04-02 19:23:07.881,-15,4,night,rainy,787,anomalous
USER005,2025-12-15 08:31:50.790,-5,1,afternoon,snowy,869,anomalous
USER002,2025-02-21 09:27:22.782,41,5,afternoon,sunny,386,anomalous
USER006,2025-05-20 17:50:37.385,-40,2,night,cloudy,722,normal
USER008,2024-07-28 05:47:29.085,57,0,morning,cloudy,801,normal
USER006,2024-02-24 00:38:56.348,-47,6,morning,snowy,507,anomalous
USER007,2024-05-10 10:07:21.380,60,5,afternoon,rainy,657,anomalous
USER003,2024-05-01 08:01:39.283,-39,3,afternoon,sunny,586,normal
USER003,2024-03-10 22:47:13.945,45,1,night,snowy,450,anomalous
USER001,2024-11-01 16:47:16.678,-44,5,night,cloudy,28,normal
USER003,2024-01-12 17:54:05.839,42,5,night,sunny,190,anomalous
USER003,2024-09-18 12:05:10.291,-31,3,evening,rainy,925,normal
USER007,2025-03-17 18:30:20.751,-31,2,night,rainy,401,normal
USER009,2024-02-27 03:36:33.635,10,2,morning,rainy,137,anomalous
USER004,2024-06-11 14:01:08.487,0,2,evening,cloudy,957,anomalous
USER001,2025-08-25 10:03:36.208,23,1,afternoon,rainy,666,normal
USER008,2025-03-03 12:07:14.348,49,1,evening,cloudy,913,anomalous
USER007,2025-07-16 23:07:14.734,-23,4,night,snowy,988,anomalous
USER010,2024-11-08 14:37:24.630,-22,5,evening,sunny,268,anomalous
USER006,2024-09-10 12:27:51.132,11,2,evening,sunny,851,anomalous
USER009,2025-12-25 16:03:46.012,15,4,evening,rainy,201,normal
USER002,2024-03-10 07:08:41.590,31,0,afternoon,sunny,278,normal
USER006,2024-08-12 00:20:45.751,43,1,morning,rainy,770,normal
USER001,2024-09-01 08:19:06.281,-40,0,afternoon,snowy,241,normal
USER005,2025-03-03 07:53:30.350,-2,1,afternoon,cloudy,472,anomalous
USER007,2025-03-21 00:55:37.082,-24,5,morning,snowy,946,normal
USER006,2025-08-03 22:34:57.883,3,1,night,snowy,130,anomalous
